Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Mini Epoxy Solar Panel","Recharger",1,0.62,"https://robocraze.com/products/mini-epoxy-solar-panel-70x70-mm?_pos=1&_psq=Solar&_ss=e&_v=1.0","Robocraze"
"3.7V 1000mAh 1S LiPo Battery","Battery",1,4.02,"https://robu.in/product/wly394058-1000mah-3-7v-single-cell-rechargeable-lipo-battery/","Robu"
"TP4056","Battery Charger",1,0.15,"https://robocraze.com/products/tp4056-battery-charger-c-type-module-with-protection-1?_pos=1&_psq=TP4056&_ss=e&_v=1.0","Robocraze"
"MQ-135 Gas Sensor","Air Quality Sensor",1,1.10,"https://robocraze.com/products/mq-135-gas-sensor-module?_pos=1&_sid=4f0cc67d9&_ss=r","Robocraze"
"BMP280","Barometric Pressure sensor",1,0.32,"https://robocraze.com/products/bmp280-sensor-module?_pos=4&_sid=80bdb05fe&_ss=r","Robocraze"
"OLED Display","Display",1,2.23,"https://robocraze.com/products/0-96in-oled-display-module-4pin","Robocraze"
"DHT11","Humidity and Temperature Sensor",1,0.59,"https://robocraze.com/products/dht11-humidity-temperature-sensor-module?_pos=1&_sid=d6ff24292&_ss=r","Robocraze"
"NodeMCU","Microcontroller",1,2.12,"https://robocraze.com/products/lolin-nodemcu-esp8266-wifi-module","Robocraze"
